#;Url;IC 1;IC 2;EC 1
141;https://info.unit4.com/rs/900-SZD-631/images/U4-ALL-GEN-AR-Digital-Enablement-via-Low-Code-Platforms.pdf;x;x;-
142;https://venturebeat.com/2021/02/14/no-code-low-code-why-you-should-be-paying-attention/;x;x;-
143;https://modeling-languages.com/ai-enhanced-model-driven-engineering-sosym-journal-special-issue/;;;x
144;https://www.researchgate.net/publication/349227487_Model-based_Analysis_Support_for_Dependable_Complex_Systems_in_CHESS;;;x
145;https://www.researchgate.net/publication/221593039_Model_driven_development_for_data-centric_sensor_network_applications;;;x
146;https://www.researchgate.net/publication/220245778_Towards_an_Advanced_Model-driven_Engineering_Toolbox;;;x
147;https://www.researchgate.net/publication/308894381_DIME_A_Programming-Less_Modeling_Environment_for_Web_Applications;;;x
148;https://genio.quidgest.com/wp-content/uploads/2016/10/fpa.pdf;;;
149;https://dl.acm.org/doi/abs/10.1145/3417990.3420210;;;x
150;https://dl.acm.org/doi/10.1145/3417990.3420210;;;x
151;https://searchsoftwarequality.techtarget.com/definition/no-code;;;
152;https://dblp.org/pid/p/AlfonsoPierantonio;x;;x
153;http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=105625&copyownerid=45217;;;x
154;https://www.researchgate.net/publication/318870798_Recommender_system_for_model_driven_software_development;;;x
155;https://www.researchgate.net/publication/221202294_Model_Driven_Engineering_An_Emerging_Technical_Space;;;x
156;https://www.researchgate.net/publication/344828013_A_Simple_Methodology_for_Model-Driven_Business_Innovation_and_Low_Code_Implementation;;;x
157;https://www.researchgate.net/publication/353044478_A_Model-Driven_Engineering_Approach_to_Machine_Learning_and_Software_Modeling;;;x
158;https://dl.acm.org/doi/abs/10.1145/3417990.3420208;;;x
159;https://dl.acm.org/doi/10.1145/3417990.3420195;;;x
160;https://dl.acm.org/doi/abs/10.1145/3417990.3420198;;;x
161;https://arxiv.org/pdf/2107.02692;;;x
162;https://atos.net/en/blog/low-code-platforms-enable-digital-transformation;;;x
163;https://digital.ai/catalyst-blog/build-better-apps-with-a-low-code-development-approach;;;x
164;https://www.researchgate.net/publication/221367016_A_Decade_of_model-driven_security;;;x
165;https://www.researchgate.net/publication/290628781_Using_Model_Driven_Security_Approaches_in_Web_Application_Development;;;x
166;https://www.researchgate.net/topic/Model-Driven-Engineering/publications;;;x
167;https://hacker-news.news/post/24849481;;;
